,token_id,type,height,segments,spectrum,color_spread,steps_between,color_direction
1541,1541,Normal,3,14,Normal,28,200,Forward
1542,1542,Normal,3,15,Normal,25,200,Forward
1543,1543,Normal,3,13,Normal,43,200,Forward
1544,1544,Normal,3,16,Normal,13,200,Reverse
1545,1545,Slinky,3,17,Normal,27,50,Forward
1546,1546,Normal,3,15,Normal,48,200,Reverse
1547,1547,Fuzzy,3,13,Normal,27,1000,Reverse
1548,1548,Normal,3,14,HyperRainbow,0.5,200,Forward
1549,1549,Normal,3,19,Normal,9,200,Forward
1550,1550,Normal,3,16,Normal,26,200,Forward
1551,1551,Slinky,3,17,Normal,36,50,Forward
1552,1552,Pipe,3,13,Normal,25,50,Forward
1553,1553,Slinky,3,19,Normal,50,50,Reverse
1554,1554,Fuzzy,3,13,Normal,31,1000,Reverse
1555,1555,Normal,3,18,Normal,16,200,Reverse
1556,1556,Normal,3,16,Normal,8,200,Forward
1557,1557,Fuzzy,3,18,Normal,26,1000,Forward
1558,1558,Normal,3,17,Normal,25,200,Forward
1559,1559,Normal,3,13,Normal,31,200,Forward
1560,1560,Normal,3,14,HyperRainbow,0.5,200,Forward
1561,1561,Normal,3,17,Normal,32,200,Reverse
1562,1562,Fuzzy,3,17,Normal,45,1000,Reverse
1563,1563,Fuzzy,3,17,Normal,16,1000,Reverse
1564,1564,Normal,3,12,Normal,39,200,Forward
1565,1565,Slinky,3,16,Normal,21,50,Reverse
1566,1566,Normal,3,12,Normal,29,200,Forward
1567,1567,Normal,3,17,Normal,43,200,Forward
1568,1568,Fuzzy,3,17,Normal,10,1000,Forward
1569,1569,Fuzzy,3,17,Normal,37,1000,Reverse
1570,1570,Normal,3,13,Normal,38,200,Reverse
1571,1571,Normal,3,13,Normal,39,200,Forward
1572,1572,Normal,3,12,Normal,10,200,Forward
1573,1573,Normal,3,18,Normal,20,200,Reverse
1574,1574,Normal,3,18,Normal,28,200,Forward
1575,1575,Normal,3,15,Normal,37,200,Forward
1576,1576,Normal,4,14,Normal,8,200,Reverse
1577,1577,Fuzzy,3,14,Normal,28,1000,Forward
1578,1578,Normal,3,13,Normal,35,200,Reverse
1579,1579,Normal,3,17,Normal,23,200,Reverse
1580,1580,Normal,3,17,Normal,31,200,Reverse
1581,1581,Normal,3,18,Normal,25,200,Forward
1582,1582,Normal,3,14,HyperRainbow,0.5,200,Reverse
1583,1583,Fuzzy,3,16,Normal,9,1000,Forward
1584,1584,Normal,3,19,Normal,16,200,Forward
1585,1585,Normal,3,15,Normal,31,200,Forward
1586,1586,Fuzzy,3,16,Normal,27,1000,Reverse
1587,1587,Normal,3,18,Normal,16,200,Reverse
1588,1588,Normal,3,15,Normal,49,200,Reverse
1589,1589,Normal,3,13,Normal,33,200,Forward
1590,1590,Normal,3,17,Normal,20,200,Forward
1591,1591,Normal,3,19,Normal,33,200,Forward
1592,1592,Normal,3,13,Normal,39,200,Forward
1593,1593,Fuzzy,3,14,Normal,35,1000,Reverse
1594,1594,Normal,3,16,Normal,36,200,Reverse
1595,1595,Normal,3,12,Normal,22,200,Reverse
1596,1596,Normal,3,16,Normal,25,200,Forward
1597,1597,Normal,3,14,Normal,30,200,Reverse
1598,1598,Fuzzy,3,17,Normal,21,1000,Reverse
1599,1599,Normal,3,18,Normal,11,200,Forward
1600,1600,Fuzzy,3,14,Normal,14,1000,Reverse
1601,1601,Normal,3,15,Normal,24,200,Forward
1602,1602,Normal,3,12,Normal,28,200,Reverse
1603,1603,Slinky,3,14,Normal,46,50,Reverse
1604,1604,Fuzzy,3,17,Normal,17,1000,Reverse
1605,1605,Fuzzy,3,19,Normal,35,1000,Reverse
1606,1606,Normal,3,12,Normal,8,200,Forward
1607,1607,Normal,3,12,Normal,19,200,Forward
1608,1608,Normal,3,19,Normal,38,200,Forward
1609,1609,Normal,3,13,Normal,42,200,Forward
1610,1610,Normal,3,17,Normal,15,200,Reverse
1611,1611,Normal,3,16,Normal,29,200,Forward
1612,1612,Normal,3,15,Normal,17,200,Reverse
1613,1613,Normal,3,15,Normal,8,200,Reverse
1614,1614,Normal,3,14,Normal,43,200,Forward
1615,1615,Slinky,3,12,Normal,43,50,Forward
1616,1616,Slinky,3,12,Normal,10,50,Forward
1617,1617,Normal,3,14,Normal,28,200,Reverse
1618,1618,Fuzzy,3,13,Normal,26,1000,Forward
1619,1619,Fuzzy,3,15,Normal,31,1000,Forward
1620,1620,Normal,3,20,Normal,42,200,Reverse
1621,1621,Pipe,3,18,Normal,32,50,Reverse
1622,1622,Normal,3,18,Normal,17,200,Reverse
1623,1623,Normal,3,12,Normal,10,200,Forward
1624,1624,Normal,3,17,Normal,46,200,Reverse
1625,1625,Normal,3,18,Normal,43,200,Reverse
1626,1626,Normal,3,19,Normal,35,200,Forward
1627,1627,Normal,3,15,Normal,30,200,Reverse
1628,1628,Slinky,3,14,Normal,23,50,Reverse
1629,1629,Normal,3,18,Normal,23,200,Forward
1630,1630,Fuzzy,3,19,Normal,13,1000,Reverse
1631,1631,Slinky,3,14,Normal,9,50,Reverse
1632,1632,Normal,3,17,Normal,17,200,Reverse
1633,1633,Normal,3,15,Normal,23,200,Forward
1634,1634,Normal,3,14,Normal,32,200,Forward
1635,1635,Fuzzy,3,17,Normal,36,1000,Forward
1636,1636,Fuzzy,3,16,Normal,31,1000,Reverse
1637,1637,Normal,3,13,Normal,18,200,Forward
1638,1638,Normal,3,14,Normal,21,200,Reverse
1639,1639,Ribbed,3,12,Normal,21,200,Reverse
1640,1640,Fuzzy,3,14,Normal,47,1000,Reverse
1641,1641,Normal,3,13,Normal,20,200,Reverse
1642,1642,Ribbed,3,18,Normal,26,200,Reverse
1643,1643,Slinky,3,14,Normal,18,50,Forward
1644,1644,Slinky,3,18,Normal,33,50,Forward
1645,1645,Ribbed,3,14,Normal,47,200,Forward
1646,1646,Normal,3,13,Normal,11,200,Forward
1647,1647,Normal,3,14,Normal,32,200,Forward
1648,1648,Fuzzy,3,19,Normal,48,1000,Forward
1649,1649,Normal,3,17,Normal,32,200,Reverse
1650,1650,Slinky,3,19,Normal,30,50,Reverse
1651,1651,Fuzzy,3,18,Normal,27,1000,Forward
1652,1652,Normal,3,18,Normal,34,200,Forward
1653,1653,Normal,3,18,Normal,35,200,Reverse
1654,1654,Normal,3,16,Normal,32,200,Forward
1655,1655,Normal,3,19,Normal,45,200,Reverse
1656,1656,Normal,3,19,Normal,39,200,Reverse
1657,1657,Normal,3,14,Normal,42,200,Reverse
1658,1658,Normal,3,12,Normal,17,200,Reverse
1659,1659,Normal,3,17,Normal,39,200,Reverse
1660,1660,Normal,3,16,Normal,34,200,Forward
1661,1661,Normal,3,18,Normal,25,200,Forward
1662,1662,Normal,3,14,Normal,19,200,Reverse
1663,1663,Normal,3,16,Normal,37,200,Reverse
1664,1664,Normal,3,17,Normal,14,200,Forward
1665,1665,Fuzzy,3,15,Normal,7,1000,Forward
1666,1666,Bold,3,17,Normal,18,200,Forward
1667,1667,Normal,3,14,Normal,43,200,Reverse
1668,1668,Normal,3,18,Normal,9,200,Forward
1669,1669,Normal,3,18,Normal,19,200,Forward
1670,1670,Slinky,3,15,Normal,41,50,Forward
1671,1671,Fuzzy,3,17,Normal,34,1000,Reverse
1672,1672,Normal,3,17,Normal,9,200,Reverse
1673,1673,Normal,3,16,Normal,19,200,Forward
1674,1674,Normal,3,17,Normal,40,200,Reverse
1675,1675,Normal,3,19,Normal,43,200,Forward
1676,1676,Normal,3,12,Normal,45,200,Reverse
1677,1677,Normal,3,12,Normal,10,200,Reverse
1678,1678,Normal,3,13,Normal,17,200,Forward
1679,1679,Normal,3,18,Normal,19,200,Forward
1680,1680,Fuzzy,3,17,Normal,14,1000,Forward
